County #,County,year,total_taxes,residential_taxes,total_taxes_per_capita,residential_taxes_per_capita,res_per_income,fips,region,res_percent,non_res_taxes,non_res_taxes_per_capita
21,Toole,2015,12446506.824139996,2027936.8686700012,2450.5821665957856,399.27876918094137,0.009673702112586705,30101,Plains,0.16293221040435363,10418569.955469994,2051.3033974148443
21,Toole,2016,13065255.64102252,1997290.0721199994,2638.379572096632,403.3299822536348,0.009795967767363611,30101,Plains,0.15287034000688612,11067965.56890252,2235.049589842997
21,Toole,2017,14763324.105869005,2296966.984118,3024.6515275289908,470.5935226629789,0.011238377306263638,30101,Plains,0.15558602978883768,12466357.121751005,2554.0580048660117
21,Toole,2018,14268722.611117002,2402346.0541379997,2940.185990339378,495.0228836056047,0.010884281927255261,30101,Plains,0.16836447940100058,11866376.556979002,2445.163106733773
33,Treasure,2002,1513340.20965,149676.64829999997,1908.3735304539723,188.74734968474147,0.010633464641943731,30103,Plains,0.09890482480117055,1363663.56135,1719.6261807692308
33,Treasure,2003,1498936.9720400004,157052.50266,1911.9094031122454,200.32206971938774,0.009883732074260541,30103,Plains,0.10477592159612761,1341884.4693800004,1711.5873333928575
33,Treasure,2004,1503791.86192,156337.44021,1882.0924429536922,195.66638324155193,0.008532771542953826,30103,Plains,0.10396215338630219,1347454.4217100001,1686.4260597121402
33,Treasure,2005,1627959.3788200002,169731.69264999998,2125.2733404960836,221.5818441906005,0.008508280748408441,30103,Plains,0.1042603979302157,1458227.6861700001,1903.691496305483
33,Treasure,2006,1599797.3167899998,185618.05942,2107.7698508432145,244.5560730171278,0.010323585062291436,30103,Plains,0.1160259849619222,1414179.2573699998,1863.2137778260867
33,Treasure,2007,1696238.9970600002,193446.3322,2267.6991939304817,258.6180911764706,0.00803882696974734,30103,Plains,0.11404426648325508,1502792.6648600001,2009.081102754011
33,Treasure,2008,1776728.5086700001,207265.11041000002,2356.40385765252,274.88741433687005,0.006978623246127947,30103,Plains,0.11665547628610506,1569463.3982600002,2081.5164433156497
33,Treasure,2009,1785382.6074199998,194427.17041999998,2479.698065861111,270.0377366944444,0.006434363782638911,30103,Plains,0.10889944240073032,1590955.437,2209.6603291666665
33,Treasure,2010,1804640.6732400001,197773.56244,2513.4271215041786,275.45064406685236,0.007076230363877062,30103,Plains,0.10959165742669594,1606867.1108000001,2237.976477437326
33,Treasure,2011,1914402.5422899998,191190.65052,2684.9965530014024,268.1495799719495,0.005729932283993167,30103,Plains,0.09986961795991903,1723211.8917699999,2416.846973029453
33,Treasure,2012,1970490.2989999999,195449.38481000008,2729.210940443213,270.70551912742394,0.005766148950023604,30103,Plains,0.09918819945938749,1775040.91419,2458.505421315789
33,Treasure,2013,1980127.6925500012,194522.12311000004,2857.3271176767694,280.6957043434344,0.005419349281495516,30103,Plains,0.09823716108908874,1785605.5694400012,2576.631413333335
33,Treasure,2014,1944900.8030099985,204471.11825999996,2822.787812786645,296.76504827285913,0.0056714037184145555,30103,Plains,0.1051319007856612,1740429.6847499986,2526.022764513786
33,Treasure,2015,2030724.8122300005,270143.55248,2968.895924312866,394.9467141520468,0.007527615918856411,30103,Plains,0.13302814386915732,1760581.2597500004,2573.9492101608193
33,Treasure,2016,2241504.9545566263,273501.94976,3296.3308155244504,402.2087496470588,0.008801066731883125,30103,Plains,0.12201710694594435,1968003.0047966263,2894.1220658773914
33,Treasure,2017,2431292.16594,296802.98548,3596.586044289941,439.0576708284023,0.010108060670912371,30103,Plains,0.12207623157673783,2134489.1804600004,3157.5283734615386
33,Treasure,2018,2484626.82866,321455.15664000006,3659.2442248306334,473.4243838586157,0.009778401065887938,30103,Plains,0.12937764051005038,2163171.67202,3185.8198409720176
20,Valley,2002,10047421.590458,1816969.3805460008,1337.5161861632055,241.87558313977647,0.009415666339570824,30105,Plains,0.18083936900503608,8230452.209911999,1095.640603023429
20,Valley,2003,9966940.471280003,1738765.2720599999,1341.9874069314667,234.1140799865356,0.008125223238097909,30105,Plains,0.17445326146677578,8228175.199220004,1107.873326944931
20,Valley,2004,10208391.459313184,1775935.2078526258,1375.4232631788175,239.27987171283021,0.007857216461170952,30105,Plains,0.17396817264804518,8432456.251460558,1136.1433914659872
20,Valley,2005,10296075.021300005,1801256.9893,1397.5940031627536,244.50345992941496,0.007989111296260157,30105,Plains,0.17494598529766436,8494818.032000005,1153.0905432333386
20,Valley,2006,10707938.04051,1917573.0186100001,1472.4887294430694,263.6926593248075,0.00916941867195532,30105,Plains,0.17907957735237973,8790365.0219,1208.796070118262
20,Valley,2007,11260956.07497,2108427.6058,1535.8641673445172,287.56513990725585,0.009106734532057152,30105,Plains,0.18723344552301854,9152528.46917,1248.2990274372614
